CustomerID,Lookalikes
C0001,"[('C0137', np.float64(0.9999785175793587)), ('C0152', np.float64(0.9999562477368926)), ('C0107', np.float64(0.9967694304896216))]"
C0002,"[('C0142', np.float64(0.9964752729637634)), ('C0177', np.float64(0.989176639261002)), ('C0027', np.float64(0.9872401538893868))]"
C0003,"[('C0133', np.float64(0.9990095008331042)), ('C0052', np.float64(0.9978941471075905)), ('C0192', np.float64(0.9851052844353932))]"
C0004,"[('C0113', np.float64(0.9936541455076252)), ('C0102', np.float64(0.9897848335864813)), ('C0012', np.float64(0.9867130587815018))]"
C0005,"[('C0159', np.float64(0.9999670162394609)), ('C0186', np.float64(0.9983933969511716)), ('C0007', np.float64(0.9928253938163094))]"
C0006,"[('C0158', np.float64(0.9895652993801161)), ('C0168', np.float64(0.9772975946176802)), ('C0187', np.float64(0.9665931454665299))]"
C0007,"[('C0159', np.float64(0.9937638164793988)), ('C0005', np.float64(0.9928253938163094)), ('C0115', np.float64(0.9917176436550027))]"
C0008,"[('C0109', np.float64(0.9819952876025708)), ('C0139', np.float64(0.9656438585882048)), ('C0098', np.float64(0.948137948568101))]"
C0009,"[('C0062', np.float64(0.9898848227092997)), ('C0198', np.float64(0.9880957526101782)), ('C0121', np.float64(0.9855081987583262))]"
C0010,"[('C0199', np.float64(0.9982750953935707)), ('C0121', np.float64(0.9887488699671573)), ('C0166', np.float64(0.9871850385705713))]"
C0011,"[('C0107', np.float64(0.9995028553086486)), ('C0048', np.float64(0.9993611874199421)), ('C0152', np.float64(0.9947430679523831))]"
C0012,"[('C0155', np.float64(0.9995049488178668)), ('C0108', np.float64(0.9962453292680545)), ('C0013', np.float64(0.9881523538002772))]"
C0013,"[('C0087', np.float64(0.9947889706899792)), ('C0155', np.float64(0.992491833760324)), ('C0102', np.float64(0.9884934828459159))]"
C0014,"[('C0060', np.float64(0.9994443844324639)), ('C0198', np.float64(0.9917444879010775)), ('C0063', np.float64(0.9845230464890423))]"
C0015,"[('C0144', np.float64(0.9996621248509793)), ('C0020', np.float64(0.992436820203411)), ('C0058', np.float64(0.9897772236609167))]"
C0016,"[('C0183', np.float64(0.9999807377162532)), ('C0117', np.float64(0.9773045146629332)), ('C0154', np.float64(0.9767289153474266))]"
C0017,"[('C0124', np.float64(0.9825439346290078)), ('C0075', np.float64(0.9780216231578062)), ('C0051', np.float64(0.9630419712577788))]"
C0018,"[('C0016', np.float64(0.9752377289468152)), ('C0183', np.float64(0.9738462560197372)), ('C0079', np.float64(0.9705189410546882))]"
C0019,"[('C0172', np.float64(0.9999928299703807)), ('C0111', np.float64(0.9767553324892357)), ('C0103', np.float64(0.9757074384535179))]"
C0020,"[('C0058', np.float64(0.9968432718655317)), ('C0033', np.float64(0.9931969322046756)), ('C0015', np.float64(0.992436820203411))]"
